ProductID,StoreID,Date,QuantitySold,StockLevel,StockPoints,MissingPoints
543,24,2024-12-07,39,18,18,21
642,89,2024-05-15,29,68,68,0
59,91,2024-02-17,15,90,90,0
34,15,2024-09-20,43,62,62,0
847,27,2024-08-10,8,76,76,0
946,42,2024-11-06,21,31,31,0
669,71,2024-09-29,39,94,94,0
765,85,2024-03-10,19,36,36,0
413,79,2024-09-08,23,65,65,0
843,47,2024-02-15,11,6,6,5
232,97,2024-09-12,11,47,47,0
708,4,2024-01-30,24,10,10,14
10,71,2024-03-29,36,74,74,0
506,89,2024-12-09,40,86,86,0
374,83,2024-01-05,24,30,30,0
618,18,2024-05-25,3,43,43,0
667,64,2024-04-28,22,44,44,0
617,55,2024-03-13,2,71,71,0
484,14,2024-03-03,24,55,55,0
488,9,2024-08-07,44,31,31,13
7,7,2024-12-14,30,20,20,10
552,80,2024-11-30,38,30,30,8
12,53,2024-12-19,2,0,0,2
530,63,2024-01-26,21,76,76,0
275,73,2024-02-05,33,10,10,23
978,76,2024-07-23,12,92,92,0
18,36,2024-05-19,22,67,67,0
814,87,2024-11-19,44,35,35,9
675,68,2024-10-06,25,78,78,0
807,75,2024-12-24,49,58,58,0
910,86,2024-05-04,27,66,66,0
108,33,2024-12-30,42,55,55,0
97,14,2024-05-21,28,50,50,0
149,83,2024-10-30,16,28,28,0
192,8,2024-10-10,15,84,84,0
527,17,2024-10-27,47,1,1,46
816,75,2024-12-04,44,5,5,39
268,95,2024-10-18,3,30,30,0
397,43,2024-08-09,37,53,53,0
374,76,2024-02-23,7,87,87,0
407,50,2024-08-15,21,39,39,0
566,82,2024-10-11,9,16,16,0
991,8,2024-12-05,39,4,4,35
226,31,2024-08-05,18,1,1,17
685,85,2024-07-24,4,57,57,0
848,21,2024-06-07,25,11,11,14
654,100,2024-01-07,14,4,4,10
859,11,2024-07-11,9,59,59,0
760,2,2024-01-02,26,40,40,0
94,54,2024-06-15,2,19,19,0
380,41,2024-03-13,20,71,71,0
553,98,2024-02-28,28,0,0,28
57,6,2024-01-15,47,55,55,0
10,44,2024-01-05,7,69,69,0
172,77,2024-07-12,44,55,55,0
500,79,2024-10-09,8,53,53,0
434,59,2024-07-13,47,10,10,37
785,26,2024-11-10,35,2,2,33
566,84,2024-08-29,14,94,94,0
858,3,2024-11-30,17,27,27,0
96,82,2024-01-30,36,4,4,32
529,54,2024-09-11,40,89,89,0
43,51,2024-04-07,4,15,15,0
212,2,2024-06-17,2,30,30,0
869,71,2024-02-13,6,27,27,0
888,30,2024-11-20,42,6,6,36
476,96,2024-01-08,4,8,8,0
47,72,2024-05-13,29,38,38,0
75,68,2024-07-24,18,98,98,0
926,92,2024-07-12,26,42,42,0
900,13,2024-08-29,44,26,26,18
564,51,2024-03-22,34,75,75,0
33,31,2024-10-06,10,88,88,0
929,71,2024-08-16,36,92,92,0
315,3,2024-01-03,14,94,94,0
962,9,2024-11-15,31,97,97,0
588,5,2024-09-26,48,32,32,16
753,52,2024-02-29,15,90,90,0
713,98,2024-11-17,8,55,55,0
399,7,2024-10-26,14,1,1,13
77,64,2024-03-28,23,13,13,10
163,48,2024-06-03,40,12,12,28
241,45,2024-06-06,21,23,23,0
835,80,2024-10-06,16,68,68,0
390,20,2024-01-08,45,33,33,12
897,76,2024-12-20,18,86,86,0
332,29,2024-11-27,47,18,18,29
756,61,2024-02-24,24,29,29,0
140,48,2024-12-27,26,48,48,0
989,92,2024-07-23,25,42,42,0
725,2,2024-08-19,45,15,15,30
501,67,2024-03-16,41,51,51,0
975,97,2024-07-13,29,97,97,0
54,29,2024-01-26,15,48,48,0
438,65,2024-11-05,45,10,10,35
839,67,2024-10-26,1,77,77,0
341,26,2024-02-04,25,46,46,0
770,73,2024-02-05,7,78,78,0
955,31,2024-05-12,9,34,34,0
397,13,2024-02-06,24,70,70,0
774,5,2024-11-30,1,28,28,0
30,37,2024-12-21,44,53,53,0
274,88,2024-11-07,8,85,85,0
993,81,2024-08-07,24,22,22,2
491,30,2024-10-22,11,23,23,0
356,40,2024-04-20,17,98,98,0
942,7,2024-06-25,8,9,9,0
432,63,2024-01-10,35,60,60,0
680,12,2024-12-09,35,7,7,28
661,13,2024-08-22,33,47,47,0
86,34,2024-09-13,5,75,75,0
619,34,2024-07-31,42,92,92,0
799,75,2024-09-03,39,28,28,11
714,58,2024-12-14,41,86,86,0
83,14,2024-11-01,28,25,25,3
155,73,2024-05-28,7,36,36,0
712,76,2024-11-28,9,95,95,0
634,100,2024-09-02,8,51,51,0
740,69,2024-03-29,12,37,37,0
317,13,2024-12-21,34,5,5,29
107,24,2024-01-19,33,7,7,26
6,97,2024-12-15,48,16,16,32
309,43,2024-05-02,23,75,75,0
360,87,2024-01-29,24,61,61,0
270,70,2024-09-23,37,85,85,0
133,14,2024-10-16,35,77,77,0
188,9,2024-09-16,44,33,33,11
449,38,2024-04-11,40,18,18,22
555,79,2024-02-19,22,69,69,0
409,72,2024-03-19,27,81,81,0
27,81,2024-04-29,35,99,99,0
354,60,2024-10-22,1,36,36,0
94,76,2024-03-01,35,37,37,0
599,95,2024-01-30,37,14,14,23
325,56,2024-11-21,47,39,39,8
386,72,2024-06-25,14,8,8,6
292,91,2024-09-11,3,52,52,0
388,83,2024-08-23,1,69,69,0
85,50,2024-05-06,5,65,65,0
902,48,2024-06-25,26,79,79,0
906,44,2024-05-18,14,51,51,0
979,38,2024-02-25,39,0,0,39
572,7,2024-03-24,27,29,29,0
170,51,2024-02-16,9,96,96,0
381,47,2024-10-11,15,0,0,15
139,8,2024-11-29,15,38,38,0
302,79,2024-05-16,26,15,15,11
494,61,2024-07-31,42,16,16,26
64,9,2024-04-10,13,81,81,0
435,98,2024-04-22,32,21,21,11
422,23,2024-11-19,39,85,85,0
485,46,2024-04-04,49,98,98,0
77,64,2024-03-22,32,30,30,2
252,17,2024-06-30,4,39,39,0
247,28,2024-12-03,30,26,26,4
626,48,2024-10-17,37,35,35,2
594,4,2024-08-31,23,3,3,20
196,37,2024-04-14,39,68,68,0
107,59,2024-07-31,45,24,24,21
305,32,2024-11-07,15,94,94,0
949,74,2024-12-29,43,77,77,0
333,41,2024-01-04,29,29,29,0
621,51,2024-12-28,36,46,46,0
805,83,2024-05-25,13,11,11,2
330,65,2024-06-08,32,26,26,6
335,80,2024-07-06,7,44,44,0
816,83,2024-12-12,22,87,87,0
860,23,2024-10-13,28,62,62,0
975,12,2024-09-17,2,54,54,0
137,56,2024-03-22,42,29,29,13
321,69,2024-01-12,45,81,81,0
948,50,2024-06-26,6,13,13,0
201,98,2024-06-19,28,55,55,0
315,66,2024-02-25,28,18,18,10
965,78,2024-11-20,44,85,85,0
969,73,2024-04-25,44,25,25,19
292,5,2024-05-16,20,70,70,0
695,63,2024-04-05,30,91,91,0
492,80,2024-03-29,11,37,37,0
576,35,2024-03-17,28,68,68,0
243,49,2024-02-13,25,35,35,0
377,32,2024-10-28,39,17,17,22
817,34,2024-02-07,33,56,56,0
393,20,2024-03-18,1,77,77,0
114,57,2024-07-06,27,22,22,5
564,77,2024-07-22,13,13,13,0
593,54,2024-02-07,41,95,95,0
546,33,2024-02-22,3,68,68,0
682,67,2024-04-27,39,21,21,18
551,73,2024-06-10,6,27,27,0
954,4,2024-07-09,8,42,42,0
462,91,2024-03-04,27,75,75,0
709,83,2024-09-03,9,17,17,0
439,61,2024-12-07,37,99,99,0
292,77,2024-03-25,33,94,94,0
693,59,2024-12-26,42,76,76,0
819,45,2024-11-14,44,83,83,0
796,68,2024-12-02,24,35,35,0
410,32,2024-05-03,15,6,6,9
500,4,2024-06-06,32,22,22,10
634,42,2024-03-19,32,33,33,0
243,52,2024-12-25,24,95,95,0
659,85,2024-02-21,41,20,20,21
716,90,2024-02-18,49,69,69,0
790,1,2024-10-28,49,79,79,0
74,98,2024-11-28,12,98,98,0
991,74,2024-02-17,39,46,46,0
480,97,2024-06-01,2,52,52,0
401,8,2024-01-28,3,83,83,0
507,36,2024-02-14,49,40,40,9
921,46,2024-08-20,37,74,74,0
692,66,2024-12-14,49,31,31,18
544,19,2024-02-21,17,13,13,4
791,69,2024-11-23,49,87,87,0
360,35,2024-05-12,2,94,94,0
896,69,2024-10-28,2,16,16,0
537,35,2024-10-13,28,24,24,4
639,34,2024-10-03,23,63,63,0
85,22,2024-06-14,37,72,72,0
769,32,2024-01-05,32,85,85,0
658,29,2024-10-06,33,47,47,0
356,76,2024-02-09,1,34,34,0
647,4,2024-08-21,19,36,36,0
45,76,2024-05-10,2,54,54,0
984,92,2024-02-15,44,16,16,28
678,71,2024-04-04,26,27,27,0
400,68,2024-04-20,32,0,0,32
753,46,2024-02-15,6,52,52,0
966,70,2024-07-17,32,72,72,0
431,51,2024-03-26,4,54,54,0
11,53,2024-08-13,11,60,60,0
259,98,2024-10-31,17,12,12,5
511,59,2024-12-07,38,46,46,0
519,88,2024-11-19,24,63,63,0
581,65,2024-09-12,5,31,31,0
576,90,2024-07-26,34,27,27,7
446,14,2024-04-01,6,52,52,0
392,98,2024-02-06,22,30,30,0
773,11,2024-08-09,11,7,7,4
589,93,2024-04-05,48,71,71,0
501,75,2024-06-07,16,97,97,0
345,46,2024-07-08,33,86,86,0
25,14,2024-10-07,9,73,73,0
105,67,2024-02-24,6,24,24,0
416,93,2024-10-30,16,32,32,0
962,3,2024-08-31,29,67,67,0
117,76,2024-09-24,3,6,6,0
941,32,2024-06-23,20,96,96,0
142,76,2024-09-28,36,65,65,0
312,7,2024-05-06,19,45,45,0
456,13,2024-08-18,26,95,95,0
207,18,2024-02-07,3,4,4,0
483,41,2024-10-29,19,16,16,3
477,69,2024-06-04,20,75,75,0
439,37,2024-12-14,32,51,51,0
697,50,2024-09-18,7,11,11,0
319,70,2024-06-05,41,61,61,0
301,90,2024-02-23,33,34,34,0
811,28,2024-06-28,40,61,61,0
116,95,2024-10-20,39,20,20,19
850,3,2024-09-07,18,84,84,0
648,70,2024-12-03,40,65,65,0
678,32,2024-12-26,1,52,52,0
165,43,2024-04-29,11,20,20,0
984,49,2024-09-09,28,14,14,14
244,53,2024-06-15,25,74,74,0
175,26,2024-06-04,23,73,73,0
161,28,2024-10-14,31,81,81,0
560,96,2024-07-25,30,22,22,8
959,13,2024-12-02,42,30,30,12
232,30,2024-05-14,35,53,53,0
406,83,2024-09-04,7,54,54,0
185,97,2024-08-21,16,25,25,0
641,6,2024-01-15,26,52,52,0
433,26,2024-07-20,48,65,65,0
30,55,2024-02-28,49,38,38,11
615,48,2024-11-04,2,6,6,0
198,12,2024-06-15,1,87,87,0
593,2,2024-04-18,48,38,38,10
389,12,2024-08-12,12,31,31,0
705,47,2024-10-02,5,25,25,0
206,78,2024-12-29,37,86,86,0
753,24,2024-07-18,32,77,77,0
809,16,2024-05-01,9,28,28,0
63,47,2024-04-16,41,24,24,17
102,5,2024-04-24,35,55,55,0
872,29,2024-05-18,19,30,30,0
187,30,2024-04-17,48,65,65,0
326,79,2024-10-23,16,1,1,15
458,3,2024-09-01,3,86,86,0
263,25,2024-12-31,20,46,46,0
863,31,2024-01-15,24,74,74,0
528,38,2024-02-09,33,28,28,5
640,43,2024-06-28,24,98,98,0
597,54,2024-05-21,11,48,48,0
612,100,2024-03-31,49,72,72,0
588,88,2024-12-04,8,31,31,0
348,66,2024-11-12,36,29,29,7
846,26,2024-12-21,38,14,14,24
618,82,2024-09-28,40,61,61,0
814,68,2024-07-10,20,77,77,0
706,76,2024-03-26,35,16,16,19
298,64,2024-02-17,48,21,21,27
615,6,2024-04-06,25,29,29,0
85,80,2024-11-17,35,80,80,0
134,23,2024-01-17,25,15,15,10
118,99,2024-04-15,29,51,51,0
306,81,2024-09-30,18,7,7,11
184,45,2024-03-24,46,63,63,0
694,60,2024-11-16,18,38,38,0
511,75,2024-02-27,2,30,30,0
419,94,2024-08-27,35,11,11,24
138,58,2024-08-20,16,32,32,0
384,27,2024-12-24,41,57,57,0
186,85,2024-10-23,36,11,11,25
636,17,2024-10-29,33,24,24,9
694,47,2024-02-19,4,37,37,0
646,29,2024-10-18,33,47,47,0
1000,53,2024-06-15,14,81,81,0
555,11,2024-07-20,21,82,82,0
490,94,2024-11-20,48,54,54,0
141,20,2024-10-22,20,2,2,18
315,10,2024-01-18,8,98,98,0
452,43,2024-09-21,7,68,68,0
54,98,2024-01-18,3,34,34,0
360,25,2024-01-15,17,50,50,0
10,25,2024-03-10,33,26,26,7
137,82,2024-01-18,48,36,36,12
816,93,2024-10-16,12,84,84,0
964,69,2024-06-18,22,15,15,7
506,82,2024-11-03,22,91,91,0
495,10,2024-09-21,46,24,24,22
685,79,2024-08-21,30,32,32,0
416,17,2024-02-17,38,61,61,0
840,37,2024-02-02,38,16,16,22
489,9,2024-05-11,45,42,42,3
83,82,2024-03-12,8,29,29,0
31,6,2024-03-31,27,40,40,0
762,25,2024-07-17,27,3,3,24
293,25,2024-01-23,34,65,65,0
275,76,2024-07-27,21,59,59,0
538,28,2024-05-04,30,8,8,22
169,73,2024-05-03,33,30,30,3
458,16,2024-12-05,28,88,88,0
743,89,2024-06-06,47,99,99,0
766,81,2024-02-29,33,68,68,0
550,47,2024-02-14,5,23,23,0
114,3,2024-02-15,48,23,23,25
115,82,2024-05-20,19,92,92,0
776,97,2024-01-26,4,44,44,0
824,69,2024-07-14,35,94,94,0
367,21,2024-04-14,49,36,36,13
823,14,2024-09-29,17,57,57,0
42,10,2024-01-20,44,82,82,0
719,65,2024-05-22,28,22,22,6
547,16,2024-11-22,30,34,34,0
990,13,2024-05-19,29,62,62,0
103,83,2024-09-15,46,5,5,41
831,26,2024-06-07,6,5,5,1
752,64,2024-08-20,35,29,29,6
298,12,2024-10-18,41,0,0,41
1000,84,2024-12-18,37,62,62,0
450,91,2024-08-31,24,7,7,17
349,65,2024-12-23,29,27,27,2
817,3,2024-09-17,49,88,88,0
440,2,2024-04-28,46,32,32,14
994,11,2024-05-26,31,52,52,0
776,74,2024-02-01,35,37,37,0
237,65,2024-12-30,33,51,51,0
811,21,2024-04-26,21,77,77,0
588,79,2024-11-13,32,10,10,22
351,37,2024-11-30,23,1,1,22
711,13,2024-11-03,33,52,52,0
633,8,2024-06-25,3,93,93,0
166,68,2024-04-09,18,93,93,0
140,27,2024-10-14,25,67,67,0
207,65,2024-01-24,42,76,76,0
207,43,2024-04-21,31,6,6,25
60,93,2024-05-12,3,66,66,0
351,66,2024-03-27,40,8,8,32
282,95,2024-06-13,46,77,77,0
539,75,2024-12-10,24,62,62,0
324,37,2024-10-01,32,10,10,22
705,21,2024-06-29,47,36,36,11
290,27,2024-01-22,22,13,13,9
268,14,2024-01-10,23,18,18,5
859,78,2024-07-26,2,7,7,0
986,12,2024-05-04,27,6,6,21
680,84,2024-11-29,42,58,58,0
96,11,2024-01-21,2,62,62,0
963,69,2024-08-21,26,6,6,20
786,67,2024-03-16,17,54,54,0
919,63,2024-05-04,40,2,2,38
993,72,2024-06-22,33,66,66,0
868,32,2024-03-28,9,17,17,0
127,74,2024-03-16,43,44,44,0
867,42,2024-11-11,48,96,96,0
250,71,2024-02-12,39,91,91,0
712,54,2024-03-12,29,35,35,0
829,86,2024-04-28,42,15,15,27
762,33,2024-04-18,26,78,78,0
677,21,2024-08-24,35,28,28,7
490,77,2024-03-11,25,58,58,0
578,100,2024-12-10,24,17,17,7
269,32,2024-03-19,13,48,48,0
415,98,2024-01-18,7,45,45,0
452,41,2024-05-23,36,82,82,0
634,13,2024-01-03,45,28,28,17
881,65,2024-06-29,20,69,69,0
94,37,2024-05-31,1,49,49,0
516,54,2024-02-17,8,54,54,0
279,27,2024-10-20,46,26,26,20
937,62,2024-08-18,16,6,6,10
370,82,2024-01-12,14,90,90,0
951,66,2024-03-31,12,82,82,0
328,97,2024-03-27,23,80,80,0
3,19,2024-05-24,15,40,40,0
775,20,2024-10-29,28,10,10,18
733,20,2024-01-16,34,4,4,30
731,56,2024-02-03,2,65,65,0
459,60,2024-11-01,32,55,55,0
665,83,2024-08-23,23,11,11,12
